title,language,year,genres,rating,director,cast,keywords,description
Kshanam,Telugu,2016,Mystery|Thriller,8.2,Ravikanth Perepu,Adivi Sesh|Adah Sharma|Anasuya Bharadwaj,missing child investigation suspense relationship clues mystery search,A man helps his former lover search for a missing child while uncovering a mystery.
HIT: The First Case,Telugu,2020,Crime|Mystery|Thriller,7.7,Sailesh Kolanu,Vishwak Sen|Ruhani Sharma|Murali Sharma,police investigation missing woman crime detective suspense case,A police officer investigates the disappearance of a young woman while dealing with his own struggles.
Jathi Ratnalu,Telugu,2021,Comedy,7.9,Anudeep KV,Naveen Polishetty|Priyadarshi|Rahul Ramakrishna|Faria Abdullah,friends city politics confusion humor friendship comedy journey,Three naive friends move to the city and become unexpectedly involved in politics.
Pelli Choopulu,Telugu,2016,Comedy|Romance|Drama,8.2,Tharun Bhascker,Vijay Deverakonda|Ritu Varma|Priyadarshi,startup food business love friendship entrepreneurship marriage youth,Two young people meet through an arranged marriage setup and build a food business together.
C/O Kancharapalem,Telugu,2018,Drama|Romance,8.8,Venkatesh Maha,Subba Rao|Radha Bessy|Kesava Karri,small town relationships love community human stories romance life,Multiple interconnected love stories unfold within a small-town community.
Sita Ramam,Telugu,2022,Romance|Drama|Mystery,8.6,Hanu Raghavapudi,Dulquer Salmaan|Mrunal Thakur|Rashmika Mandanna,letters love army soldier palace mystery historical romance,A mysterious letter leads to a romantic story involving an army lieutenant.
Hi Nanna,Telugu,2023,Drama|Romance|Family,8.0,Shouryuv,Nani|Mrunal Thakur|Kiara Khanna,father daughter memory love family emotional photography relationship,A father and daughter confront the mysteries surrounding their past and family.
Dasara,Telugu,2023,Action|Drama,7.6,Srikanth Odela,Nani|Keerthy Suresh|Dheekshith Shetty,village coal mines friendship revenge politics rural alcohol power,"A rural friendship story becomes a struggle involving power, revenge and politics."
Major,Telugu,2022,Biography|Action|Drama,8.1,Sashi Kiran Tikka,Adivi Sesh|Saiee Manjrekar|Sobhita Dhulipala,soldier army biography mumbai attacks patriotism sacrifice military,A biographical drama portraying the life and sacrifice of an Indian Army officer.
Kantara,Kannada,2022,Action|Drama|Mystery,8.6,Rishab Shetty,Rishab Shetty|Sapthami Gowda|Kishore|Achyuth Kumar,village forest folklore tradition deity land conflict culture ritual,"A village faces a conflict involving land, tradition, folklore and the forest."
KGF: Chapter 1,Kannada,2018,Action|Crime|Drama,8.2,Prashanth Neel,Yash|Srinidhi Shetty|Ramachandra Raju|Anant Nag,gold mines gangster power ambition poverty underworld empire action,A determined man rises from poverty to become a powerful figure in the gold-mining underworld.
KGF: Chapter 2,Kannada,2022,Action|Crime|Drama,8.3,Prashanth Neel,Yash|Sanjay Dutt|Srinidhi Shetty|Raveena Tandon,gold mines gangster empire revenge power politics underworld action,Rocky consolidates his empire while facing political and criminal enemies.
777 Charlie,Kannada,2022,Adventure|Drama,8.8,Kiranraj K,Rakshit Shetty|Sangeetha Sringeri|Raj B. Shetty,dog friendship journey healing loneliness animal road trip emotional,A lonely man forms a deep bond with a dog and embarks on a transformative journey.
Kirik Party,Kannada,2016,Comedy|Romance|Drama,8.0,Rishab Shetty,Rakshit Shetty|Rashmika Mandanna|Samyuktha Hegde,college friendship youth engineering campus love students comedy,"A college student's life changes through friendship, love and growing up."
Garuda Gamana Vrishabha Vahana,Kannada,2021,Crime|Drama,8.1,Raj B. Shetty,Raj B. Shetty|Gopalkrishna Deshpande|Gopalkrishna Deshpande,friends crime coastal rivalry violence power gangsters revenge,Two childhood friends rise through a violent criminal world and face a dangerous rivalry.
Ulidavaru Kandanthe,Kannada,2014,Crime|Drama|Mystery,8.4,Rakshit Shetty,Rakshit Shetty|Kishore|Yagna Shetty|Tara,coastal crime multiple perspectives fishing mystery gangsters investigation,A complex crime story is told through multiple perspectives in coastal Karnataka.
Avane Srimannarayana,Kannada,2019,Adventure|Comedy|Fantasy,8.0,Sachin Ravi,Rakshit Shetty|Shanvi Srivastava|Achyuth Kumar,detective treasure village mystery humor adventure fantasy police,A quirky police officer investigates a treasure mystery in a fictional town.
Kavaludaari,Kannada,2019,Crime|Mystery|Thriller,8.0,Hemanth M. Rao,Rishi|Anant Nag|Roshni Prakash|Suman Ranganathan,police cold case investigation bodies mystery secrets detective crime,A traffic police officer investigates a decades-old murder mystery.
Gantumoote,Kannada,2019,Drama|Romance,8.1,Roopa Rao,Teju Belawadi|Nischith Korodi,school friendship teenage love growing up memories youth romance,"A coming-of-age story about teenage love, friendship and school life."
Dia,Kannada,2020,Romance|Drama,8.0,K. S. Ashoka,Pruthvi Ambaar|Deekshith Shetty|Kushee Ravi,love relationships heartbreak emotional college destiny romance,"A young woman's life changes through love, loss and unexpected relationships."
Sapta Sagaradaache Ello: Side A,Kannada,2023,Romance|Drama,8.0,Hemanth M. Rao,Rakshit Shetty|Rukmini Vasanth|Chaithra J. Achar,love prison separation dreams emotional relationship sacrifice romance,"A romantic drama about love, separation and the consequences of a life-changing decision."
Sapta Sagaradaache Ello: Side B,Kannada,2023,Romance|Drama,8.2,Hemanth M. Rao,Rakshit Shetty|Rukmini Vasanth|Chaithra J. Achar,second chance love separation healing emotional relationship memories,A man attempts to rebuild his life and confront memories of a lost relationship.
Lucia,Kannada,2013,Mystery|Psychological|Thriller,8.3,Pawan Kumar,Sathish Ninasam|Sruthi Hariharan|Achyuth Kumar,dream reality insomnia cinema identity psychological mystery pill,A projectionist experiences a mysterious pill that blurs the boundary between dreams and reality.
RangiTaranga,Kannada,2015,Mystery|Thriller|Drama,8.1,Anup Bhandari,Nirup Bhandari|Avantika Shetty|Radhika Chetan,village house secrets investigation supernatural suspense mystery family,A couple visiting a remote village become involved in a mystery surrounding an old house.
Bell Bottom,Kannada,2019,Comedy|Crime|Mystery,7.4,Jayathirtha,Rishab Shetty|Hariprriya|Yograj Bhat,detective police robbery investigation retro humor crime mystery,A clever police detective investigates a series of unusual robberies.
